------------ Generated ActiGraph data date format M/d/yyyy at 80 Hz  -----------
Start Time 09:30:05.500
Start Date 1/1/2000
--------------------------------------------------
Accelerometer X,Accelerometer Y,Accelerometer Z
0.128,0.088,-0.160
0.130,0.091,-0.156
0.132,0.094,-0.151
0.134,0.098,-0.143
0.137,0.103,-0.134
0.140,0.109,-0.123
0.144,0.116,-0.110
0.148,0.124,-0.096
0.153,0.133,-0.080
0.158,0.142,-0.062
0.163,0.152,-0.043
0.169,0.163,-0.023
0.175,0.174,-0.001
0.181,0.186,0.021
0.187,0.198,0.044
0.194,0.211,0.068
0.200,0.224,0.093
0.207,0.237,0.118
0.214,0.250,0.144
0.221,0.263,0.169
0.228,0.277,0.195
0.235,0.290,0.221
0.242,0.303,0.246
0.249,0.316,0.270
0.255,0.329,0.295
0.262,0.341,0.318
0.268,0.353,0.340
0.274,0.364,0.362
0.279,0.375,0.382
0.285,0.385,0.401
0.290,0.394,0.419
0.294,0.403,0.435
0.298,0.411,0.449
0.302,0.418,0.462
0.305,0.424,0.473
0.308,0.429,0.482
0.311,0.433,0.490
0.313,0.436,0.495
0.314,0.439,0.498
0.315,0.440,0.500
0.315,0.440,0.500
0.315,0.440,0.497
0.315,0.438,0.493
0.314,0.435,0.486
0.312,0.432,0.478
0.310,0.427,0.468
0.308,0.422,0.457
0.305,0.416,0.443
0.302,0.409,0.428
0.298,0.401,0.412
0.295,0.393,0.394
0.290,0.384,0.374
0.286,0.374,0.354
0.281,0.364,0.333
0.276,0.353,0.310
0.271,0.343,0.287
0.265,0.331,0.264
0.260,0.320,0.240
0.254,0.308,0.215
0.249,0.296,0.191
0.243,0.285,0.166
0.238,0.273,0.142
0.232,0.261,0.117
0.227,0.250,0.094
0.222,0.239,0.071
0.217,0.229,0.048
0.212,0.219,0.027
0.207,0.209,0.007
0.203,0.200,-0.013
0.199,0.191,-0.031
0.196,0.184,-0.047
0.192,0.177,-0.062
0.190,0.171,-0.075
0.187,0.165,-0.087
0.185,0.161,-0.097
0.184,0.157,-0.105
0.183,0.155,-0.112
0.182,0.153,-0.116
0.182,0.152,-0.119
0.183,0.153,-0.119
0.184,0.154,-0.117
0.185,0.156,-0.114
0.187,0.160,-0.109
0.189,0.164,-0.101
0.192,0.169,-0.092
0.195,0.175,-0.081
0.199,0.182,-0.068
0.203,0.190,-0.054
0.208,0.199,-0.038
0.213,0.208,-0.020
0.218,0.218,-0.001
0.224,0.229,0.019
0.230,0.240,0.041
0.236,0.252,0.063
0.242,0.264,0.086
0.249,0.277,0.111
0.256,0.289,0.135
0.263,0.303,0.160
0.269,0.316,0.186
0.276,0.329,0.212
0.283,0.343,0.237
0.290,0.356,0.263
0.297,0.369,0.288
0.304,0.382,0.313
0.310,0.395,0.337
0.317,0.407,0.360
0.323,0.419,0.382
0.329,0.430,0.404
0.335,0.441,0.424
0.340,0.451,0.443
0.345,0.460,0.461
0.349,0.469,0.477
0.354,0.476,0.491
0.357,0.483,0.504
0.361,0.489,0.515
0.364,0.495,0.524
0.366,0.499,0.532
0.368,0.502,0.537
0.369,0.504,0.541
0.370,0.506,0.542
0.371,0.506,0.542
0.371,0.505,0.539
0.370,0.504,0.535
0.369,0.501,0.528
0.368,0.498,0.520
0.366,0.493,0.510
0.363,0.488,0.499
0.360,0.482,0.485
0.357,0.475,0.470
0.354,0.467,0.454
0.350,0.459,0.436
0.346,0.450,0.416
0.341,0.440,0.396
0.336,0.430,0.375
0.331,0.419,0.352
0.326,0.408,0.329
0.321,0.397,0.306
0.315,0.386,0.282
0.310,0.374,0.257
0.304,0.362,0.233
0.298,0.350,0.208
0.293,0.339,0.184
0.287,0.327,0.159
0.282,0.316,0.136
0.277,0.305,0.113
0.272,0.294,0.090
0.267,0.284,0.069
0.263,0.275,0.049
0.258,0.266,0.029
0.254,0.257,0.012
0.251,0.249,-0.005
0.248,0.243,-0.020
0.245,0.236,-0.033
0.242,0.231,-0.045
0.240,0.227,-0.055
0.239,0.223,-0.063
0.238,0.220,-0.070
0.237,0.219,-0.074
0.237,0.218,-0.077
0.238,0.219,-0.077
0.239,0.220,-0.075
0.240,0.222,-0.072
0.242,0.225,-0.067
0.245,0.230,-0.059
0.247,0.235,-0.050
0.251,0.241,-0.039
0.254,0.248,-0.026
0.259,0.256,-0.012
0.263,0.264,0.004
0.268,0.274,0.022
0.273,0.284,0.041
0.279,0.294,0.061
0.285,0.306,0.083
0.291,0.317,0.105
0.298,0.330,0.128
0.304,0.342,0.153
0.311,0.355,0.177
0.318,0.368,0.202
0.325,0.382,0.228
0.332,0.395,0.253
0.339,0.408,0.279
0.346,0.422,0.305
0.352,0.435,0.330
0.359,0.448,0.354
0.366,0.460,0.379
0.372,0.473,0.402
0.378,0.484,0.424
0.384,0.496,0.446
0.390,0.506,0.466
0.395,0.516,0.485
0.400,0.526,0.503
0.405,0.534,0.519
0.409,0.542,0.533
0.413,0.549,0.546
0.416,0.555,0.557
0.419,0.560,0.566
0.421,0.564,0.574
0.423,0.568,0.579
0.425,0.570,0.582
0.425,0.571,0.584
0.426,0.572,0.583
0.426,0.571,0.581
0.425,0.569,0.577
0.424,0.567,0.570
0.423,0.563,0.562
0.421,0.559,0.552
0.419,0.554,0.540
0.416,0.547,0.527
0.413,0.540,0.512
0.409,0.533,0.495
0.405,0.524,0.478
0.401,0.515,0.458
0.396,0.506,0.438
0.391,0.496,0.417
0.386,0.485,0.394
0.381,0.474,0.371
0.376,0.463,0.348
0.370,0.451,0.323
0.365,0.440,0.299
0.359,0.428,0.274
0.354,0.416,0.250
0.348,0.404,0.225
0.343,0.393,0.201
0.337,0.382,0.178
0.332,0.371,0.155
0.327,0.360,0.132
0.322,0.350,0.111
0.318,0.340,0.090
0.314,0.331,0.071
0.310,0.323,0.053
0.306,0.315,0.037
0.303,0.308,0.022
0.300,0.302,0.008
0.298,0.297,-0.003
0.296,0.292,-0.013
0.294,0.289,-0.022
0.293,0.286,-0.028
0.293,0.285,-0.032
0.293,0.284,-0.035
0.293,0.284,-0.035
0.294,0.286,-0.034
0.295,0.288,-0.030
0.297,0.291,-0.025
0.300,0.295,-0.017
0.303,0.300,-0.008
0.306,0.307,0.003
0.310,0.314,0.016
0.314,0.321,0.030
0.318,0.330,0.046
0.323,0.339,0.064
0.329,0.349,0.083
0.334,0.360,0.103
0.340,0.371,0.124
0.346,0.383,0.147
0.353,0.395,0.170
0.359,0.408,0.194
0.366,0.421,0.219
0.373,0.434,0.244
0.380,0.447,0.270
0.387,0.461,0.295
0.394,0.474,0.321
0.401,0.487,0.346
0.408,0.500,0.371
0.414,0.513,0.396
0.421,0.526,0.420
0.427,0.538,0.444
0.434,0.550,0.466
0.439,0.561,0.487
0.445,0.572,0.508
0.450,0.582,0.527
0.455,0.591,0.544
0.460,0.600,0.560
0.464,0.608,0.575
0.468,0.615,0.588
0.471,0.621,0.599
0.474,0.626,0.608
0.476,0.630,0.615
0.478,0.633,0.621
0.480,0.636,0.624
0.481,0.637,0.626
0.481,0.637,0.625
0.481,0.637,0.623
0.481,0.635,0.618
0.480,0.632,0.612
0.478,0.629,0.604
0.476,0.624,0.594
0.474,0.619,0.582
0.471,0.613,0.569
0.468,0.606,0.554
0.464,0.598,0.537
0.460,0.590,0.519
0.456,0.581,0.500
0.451,0.571,0.480
0.447,0.561,0.458
0.442,0.551,0.436
0.436,0.540,0.413
0.431,0.528,0.389
0.426,0.517,0.365
0.420,0.505,0.341
0.415,0.493,0.316
0.409,0.482,0.291
0.403,0.470,0.267
0.398,0.458,0.243
0.393,0.447,0.219
0.387,0.436,0.196
0.382,0.426,0.174
0.378,0.416,0.152
0.373,0.406,0.132
0.369,0.397,0.113
0.365,0.388,0.095
0.361,0.381,0.078
0.358,0.374,0.063
0.355,0.368,0.050
0.353,0.362,0.038
0.351,0.358,0.028
0.349,0.354,0.020
0.348,0.352,0.014
0.348,0.350,0.009
0.348,0.349,0.007
0.348,0.350,0.006
0.349,0.351,0.008
0.351,0.353,0.011
0.353,0.357,0.017
0.355,0.361,0.024
0.358,0.366,0.033
0.361,0.372,0.044
0.365,0.379,0.057
0.369,0.387,0.072
0.374,0.395,0.088
0.379,0.405,0.105
0.384,0.415,0.124
0.390,0.426,0.145
0.395,0.437,0.166
0.402,0.449,0.188
0.408,0.461,0.212
0.415,0.473,0.236
0.421,0.486,0.260
0.428,0.499,0.286
0.435,0.513,0.311
0.442,0.526,0.337
0.449,0.540,0.362
0.456,0.553,0.388
0.463,0.566,0.413
0.470,0.579,0.438
0.476,0.591,0.462
0.483,0.604,0.485
0.489,0.615,0.508
0.495,0.627,0.529
0.500,0.637,0.549
0.506,0.647,0.568
0.511,0.657,0.586
0.515,0.665,0.602
0.519,0.673,0.616
0.523,0.680,0.629
0.526,0.686,0.640
0.529,0.691,0.649
0.532,0.696,0.657
0.534,0.699,0.662
0.535,0.701,0.666
0.536,0.703,0.667
0.536,0.703,0.667
0.536,0.702,0.664
0.536,0.701,0.660
0.535,0.698,0.653
0.533,0.694,0.645
0.531,0.690,0.635
0.529,0.685,0.624
0.526,0.678,0.610
0.523,0.672,0.595
0.519,0.664,0.579
0.515,0.655,0.561
0.511,0.646,0.541
0.507,0.637,0.521
0.502,0.627,0.500
0.497,0.616,0.477
0.492,0.605,0.454
0.486,0.594,0.431
0.481,0.582,0.406
0.475,0.571,0.382
0.470,0.559,0.357
0.464,0.547,0.333
0.459,0.535,0.308
0.453,0.524,0.284
0.448,0.513,0.261
0.443,0.502,0.238
0.438,0.491,0.215
0.433,0.481,0.194
0.428,0.471,0.173
0.424,0.462,0.154
0.420,0.454,0.136
0.416,0.446,0.120
0.413,0.439,0.105
0.410,0.433,0.091
0.408,0.428,0.080
0.406,0.423,0.070
0.405,0.420,0.061
0.404,0.417,0.055
0.403,0.416,0.051
0.403,0.415,0.048
0.404,0.415,0.048
0.404,0.417,0.049
0.406,0.419,0.053
0.408,0.422,0.058
0.410,0.426,0.065
0.413,0.431,0.075
0.416,0.438,0.086
0.420,0.445,0.098
0.424,0.452,0.113
0.429,0.461,0.129
0.434,0.470,0.147
0.439,0.480,0.166
0.445,0.491,0.186
0.451,0.502,0.207
0.457,0.514,0.230
0.463,0.526,0.253
0.470,0.539,0.277
0.477,0.552,0.302
0.483,0.565,0.327
0.490,0.578,0.352
0.497,0.592,0.378
0.504,0.605,0.404
0.511,0.618,0.429
0.518,0.631,0.454
0.525,0.644,0.479
0.531,0.657,0.503
0.538,0.669,0.526
0.544,0.681,0.549
0.550,0.692,0.570
0.555,0.703,0.590
0.561,0.713,0.609
0.566,0.722,0.627
0.570,0.731,0.643
0.574,0.739,0.658
0.578,0.746,0.670
0.582,0.752,0.681
0.584,0.757,0.691
0.587,0.761,0.698
0.589,0.764,0.703
0.590,0.767,0.707
0.591,0.768,0.708
0.592,0.768,0.708
0.591,0.768,0.705
0.591,0.766,0.701
0.590,0.763,0.695
0.588,0.760,0.686
0.587,0.755,0.676
0.584,0.750,0.665
0.581,0.744,0.651
0.578,0.737,0.636
0.575,0.729,0.620
0.571,0.721,0.602
0.566,0.712,0.583
0.562,0.702,0.562
0.557,0.692,0.541
0.552,0.681,0.518
0.547,0.670,0.495
0.541,0.659,0.472
0.536,0.648,0.448
0.530,0.636,0.423
0.525,0.624,0.399
0.519,0.613,0.374
0.514,0.601,0.349
0.508,0.589,0.325
0.503,0.578,0.302
0.498,0.567,0.279
0.493,0.557,0.256
0.488,0.546,0.235
0.483,0.537,0.215
0.479,0.528,0.195
0.475,0.519,0.177
0.472,0.512,0.161
0.468,0.505,0.146
0.466,0.498,0.132
0.463,0.493,0.121
0.461,0.489,0.111
0.460,0.485,0.102
0.459,0.483,0.096
0.458,0.481,0.092
0.458,0.480,0.089
0.459,0.481,0.089
0.460,0.482,0.090
0.461,0.484,0.094
0.463,0.487,0.099
0.465,0.492,0.106
0.468,0.497,0.116
0.472,0.503,0.127
0.475,0.510,0.139
0.479,0.518,0.154
0.484,0.526,0.170
0.489,0.536,0.188
0.494,0.546,0.207
0.500,0.556,0.227
0.506,0.568,0.248
0.512,0.579,0.271
0.518,0.592,0.294
0.525,0.604,0.318
0.532,0.617,0.343
0.539,0.630,0.368
0.546,0.644,0.393
0.552,0.657,0.419
0.559,0.670,0.445
0.566,0.684,0.470
0.573,0.697,0.495
0.580,0.710,0.520
0.587,0.722,0.544
0.593,0.734,0.567
0.599,0.746,0.590
0.605,0.757,0.611
0.611,0.768,0.631
0.616,0.778,0.650
0.621,0.788,0.668
0.625,0.796,0.684
0.630,0.804,0.698
0.633,0.811,0.711
0.637,0.817,0.722
0.640,0.822,0.731
0.642,0.826,0.739
0.644,0.830,0.744
0.645,0.832,0.748
0.646,0.833,0.749
0.647,0.834,0.749
0.647,0.833,0.746
0.646,0.831,0.742
0.645,0.829,0.736
0.644,0.825,0.727
0.642,0.821,0.717
0.639,0.815,0.706
0.636,0.809,0.692
0.633,0.802,0.677
0.630,0.794,0.661
0.626,0.786,0.643
0.622,0.777,0.623
0.617,0.767,0.603
0.612,0.757,0.582
0.607,0.747,0.559
0.602,0.736,0.536
0.597,0.724,0.513
0.591,0.713,0.488
0.586,0.701,0.464
0.580,0.690,0.439
0.574,0.678,0.415
0.569,0.666,0.390
0.563,0.655,0.366
0.558,0.643,0.342
0.553,0.632,0.319
0.548,0.622,0.297
0.543,0.612,0.276
0.539,0.602,0.255
0.534,0.593,0.236
0.530,0.585,0.218
0.527,0.577,0.202
0.524,0.570,0.187
0.521,0.564,0.173
0.518,0.558,0.161
0.516,0.554,0.151
0.515,0.550,0.143
0.514,0.548,0.137
0.513,0.546,0.132
0.513,0.545,0.130
0.514,0.546,0.129
0.515,0.547,0.131
0.516,0.549,0.134
0.518,0.553,0.140
0.521,0.557,0.147
0.523,0.562,0.156
0.527,0.568,0.167
0.530,0.575,0.180
0.535,0.583,0.195
0.539,0.591,0.211
0.544,0.601,0.228
0.549,0.611,0.247
0.555,0.622,0.267
0.561,0.633,0.289
0.567,0.645,0.311
0.574,0.657,0.335
0.580,0.669,0.359
0.587,0.682,0.383
0.594,0.695,0.409
0.601,0.709,0.434
0.608,0.722,0.460
0.615,0.735,0.485
0.622,0.749,0.511
0.628,0.762,0.536
0.635,0.775,0.561
0.642,0.787,0.585
0.648,0.800,0.608
0.654,0.811,0.630
0.660,0.823,0.652
0.666,0.833,0.672
0.671,0.843,0.691
0.676,0.853,0.708
0.681,0.861,0.725
0.685,0.869,0.739
0.689,0.876,0.752
0.692,0.882,0.763
0.695,0.887,0.772
0.697,0.892,0.779
0.699,0.895,0.785
0.700,0.897,0.788
0.701,0.898,0.790
0.702,0.899,0.789
0.702,0.898,0.787
0.701,0.896,0.782
0.700,0.894,0.776
0.699,0.890,0.768
0.697,0.886,0.758
0.694,0.880,0.746
0.692,0.874,0.733
0.688,0.867,0.718
0.685,0.860,0.701
0.681,0.851,0.683
0.677,0.842,0.664
0.672,0.833,0.643
0.667,0.822,0.622
0.662,0.812,0.600
0.657,0.801,0.577
0.652,0.790,0.553
0.646,0.778,0.529
0.641,0.766,0.504
0.635,0.755,0.480
0.630,0.743,0.455
0.624,0.731,0.431
0.619,0.720,0.407
0.613,0.708,0.383
0.608,0.697,0.360
0.603,0.687,0.338
0.598,0.677,0.316
0.594,0.667,0.296
0.589,0.658,0.276
0.585,0.650,0.259
0.582,0.642,0.242
0.579,0.635,0.227
0.576,0.629,0.213
0.574,0.623,0.202
0.572,0.619,0.192
0.570,0.615,0.183
0.569,0.613,0.177
0.569,0.611,0.173
0.569,0.611,0.170
0.569,0.611,0.170
0.570,0.612,0.171
0.571,0.614,0.175
0.573,0.618,0.180
0.576,0.622,0.188
0.578,0.627,0.197
0.582,0.633,0.208
0.586,0.640,0.221
0.590,0.648,0.235
0.594,0.657,0.251
0.599,0.666,0.269
0.605,0.676,0.288
0.610,0.687,0.308
0.616,0.698,0.329
0.622,0.710,0.352
0.629,0.722,0.375
0.635,0.734,0.399
0.642,0.747,0.424
0.649,0.760,0.449
0.656,0.774,0.474
0.663,0.787,0.500
0.670,0.801,0.525
0.677,0.814,0.551
0.683,0.827,0.576
0.690,0.840,0.601
0.697,0.852,0.625
0.703,0.865,0.648
0.709,0.876,0.671
0.715,0.888,0.692
0.721,0.898,0.712
0.726,0.908,0.731
0.731,0.918,0.749
0.736,0.926,0.765
0.740,0.934,0.779
0.744,0.941,0.792
0.747,0.947,0.803
0.750,0.952,0.812
0.752,0.957,0.820
0.754,0.960,0.825
0.756,0.962,0.828
0.757,0.963,0.830
0.757,0.964,0.829
0.757,0.963,0.827
0.756,0.961,0.823
0.755,0.959,0.816
0.754,0.955,0.808
0.752,0.951,0.798
0.750,0.945,0.786
0.747,0.939,0.773
0.744,0.932,0.758
0.740,0.925,0.741
0.736,0.916,0.723
0.732,0.907,0.704
0.727,0.898,0.684
0.722,0.887,0.662
0.717,0.877,0.640
0.712,0.866,0.617
0.707,0.855,0.593
0.701,0.843,0.569
0.696,0.831,0.544
0.690,0.820,0.520
0.685,0.808,0.495
0.679,0.796,0.471
0.674,0.785,0.447
0.668,0.773,0.423
0.663,0.762,0.400
0.658,0.752,0.378
0.653,0.742,0.356
0.649,0.732,0.336
0.645,0.723,0.317
0.641,0.715,0.299
0.637,0.707,0.282
0.634,0.700,0.267
0.631,0.694,0.254
0.629,0.688,0.242
0.627,0.684,0.232
0.625,0.680,0.224
0.624,0.678,0.217
0.624,0.676,0.213
0.624,0.676,0.210
0.624,0.676,0.210
0.625,0.677,0.211
0.626,0.679,0.215
0.628,0.683,0.220
0.631,0.687,0.227
0.634,0.692,0.237
0.637,0.698,0.248
0.641,0.705,0.260
0.645,0.713,0.275
0.649,0.721,0.291
0.654,0.731,0.309
0.660,0.741,0.327
0.665,0.752,0.348
0.671,0.763,0.369
0.677,0.775,0.392
0.684,0.787,0.415
0.690,0.799,0.439
0.697,0.812,0.464
0.704,0.825,0.489
0.711,0.839,0.514
0.718,0.852,0.540
0.725,0.865,0.565
0.732,0.879,0.591
0.739,0.892,0.616
0.745,0.905,0.641
0.752,0.917,0.665
0.758,0.930,0.688
0.764,0.941,0.710
0.770,0.953,0.732
0.776,0.963,0.752
0.781,0.973,0.771
0.786,0.983,0.789
0.791,0.991,0.805
0.795,0.999,0.819
0.799,1.006,0.832
0.802,1.012,0.843
0.805,1.017,0.852
0.807,1.021,0.859
0.809,1.025,0.865
0.811,1.027,0.868
0.812,1.028,0.870
0.812,1.029,0.869
0.812,1.028,0.867
0.811,1.026,0.862
0.810,1.024,0.856
0.809,1.020,0.848
0.807,1.016,0.838
0.805,1.010,0.826
0.802,1.004,0.813
0.799,0.997,0.797
0.795,0.989,0.781
0.791,0.981,0.763
0.787,0.972,0.744
0.782,0.962,0.723
0.778,0.952,0.702
0.773,0.942,0.680
0.767,0.931,0.656
0.762,0.919,0.633
0.756,0.908,0.609
0.751,0.896,0.584
0.745,0.884,0.560
0.740,0.873,0.535
0.734,0.861,0.510
0.729,0.850,0.486
0.723,0.838,0.463
0.718,0.827,0.440
0.713,0.817,0.417
0.708,0.807,0.396
0.704,0.797,0.375
0.700,0.788,0.356
0.696,0.779,0.338
0.692,0.772,0.322
0.689,0.765,0.307
0.686,0.759,0.293
0.684,0.753,0.281
0.682,0.749,0.271
0.680,0.745,0.263
0.679,0.743,0.257
0.679,0.741,0.252
0.679,0.740,0.250
0.679,0.741,0.249
0.680,0.742,0.251
0.681,0.744,0.254
0.683,0.747,0.260
0.686,0.752,0.267
0.689,0.757,0.276
0.692,0.763,0.287
0.696,0.770,0.300
0.700,0.778,0.314
0.704,0.786,0.330
0.709,0.796,0.348
0.715,0.806,0.367
0.720,0.816,0.387
0.726,0.828,0.409
0.732,0.839,0.431
0.739,0.852,0.454
0.745,0.864,0.478
0.752,0.877,0.503
0.759,0.890,0.528
0.766,0.903,0.554
0.773,0.917,0.579
0.780,0.930,0.605
0.787,0.943,0.630
0.794,0.957,0.655
0.800,0.969,0.680
0.807,0.982,0.704
0.813,0.994,0.727
0.819,1.006,0.750
0.825,1.017,0.771
